"national_number","gen","english_name","japanese_name","primary_type","secondary_type","classification","percent_male","percent_female","height_m","weight_kg","capture_rate","hp","attack","defense","sp_attack","sp_defense","speed","abilities_1","abilities_2","hidden_ability","description","tier"
143,1,"Snorlax","カビゴン (Kabigon)","Normal",NA,"Sleeping Pokémon","87.5%","12.5%",2.1,460,25,160,110,65,65,110,30,"Immunity","Thick Fat","Gluttony",NA,"ZU"
144,1,"Articuno","フリーザー (Freezer)","Ice","Flying","Freeze Pokémon","","",1.7,55.4,3,90,85,100,95,125,85,"Pressure",NA,"Snow Cloak",NA,"ZU"
145,1,"Zapdos","サンダー (Thunder)","Electric","Flying","Electric Pokémon","","",1.6,52.6,3,90,90,85,125,90,100,"Pressure",NA,"Static",NA,"OU"
146,1,"Moltres","ファイヤー (Fire)","Fire","Flying","Flame Pokémon","","",2,60,3,90,100,90,125,85,90,"Pressure",NA,"Flame Body",NA,"OU"
147,1,"Dratini","ミニリュウ (Miniryu)","Dragon",NA,"Dragon Pokémon","50%","50%",1.8,3.3,45,41,64,45,50,50,50,"Shed Skin",NA,"Marvel Scale",NA,"LC"
148,1,"Dragonair","ハクリュー (Hakuryu)","Dragon",NA,"Dragon Pokémon","50%","50%",4,16.5,45,61,84,65,70,70,70,"Shed Skin",NA,"Marvel Scale",NA,"NFE"
149,1,"Dragonite","カイリュー (Kairyu)","Dragon","Flying","Dragon Pokémon","50%","50%",2.2,210,45,91,134,95,100,100,80,"Inner Focus",NA,"Multiscale",NA,"OU"
150,1,"Mewtwo","ミュウツー (Mewtwo)","Psychic",NA,"Genetic Pokémon","","",2,122,3,106,110,90,154,90,130,"Pressure",NA,"Unnerve",NA,"Uber"
151,1,"Mew","ミュウ (Mew)","Psychic",NA,"New Species Pokémon","","",0.4,4,45,100,100,100,100,100,100,"Synchronize",NA,NA,NA,"RU"
152,2,"Chikorita","チコリータ (Chicorita)","Grass",NA,"Leaf Pokémon","87.5%","12.5%",0.9,6.4,45,45,49,65,49,65,45,"Overgrow",NA,"Leaf Guard",NA,"LC"
153,2,"Bayleef","ベイリーフ (Bayleaf)","Grass",NA,"Leaf Pokémon","87.5%","12.5%",1.2,15.8,45,60,62,80,63,80,60,"Overgrow",NA,"Leaf Guard",NA,"NFE"
154,2,"Meganium","メガニウム (Meganium)","Grass",NA,"Herb Pokémon","87.5%","12.5%",1.8,100.5,45,80,82,100,83,100,80,"Overgrow",NA,"Leaf Guard",NA,"ZU"
155,2,"Cyndaquil","ヒノアラシ (Hinoarashi)","Fire",NA,"Fire Mouse Pokémon","87.5%","12.5%",0.5,7.9,45,39,52,43,60,50,65,"Blaze",NA,"Flash Fire",NA,"LC"
156,2,"Quilava","マグマラシ (Magmarashi)","Fire",NA,"Volcano Pokémon","87.5%","12.5%",0.9,19,45,58,64,58,80,65,80,"Blaze",NA,"Flash Fire",NA,"NFE"
157,2,"Typhlosion","バクフーン (Bakphoon)","Fire",NA,"Volcano Pokémon","87.5%","12.5%",1.7,79.5,45,78,84,78,109,85,100,"Blaze",NA,"Flash Fire",NA,"ZU"
158,2,"Totodile","ワニノコ (Waninoko)","Water",NA,"Big Jaw Pokémon","87.5%","12.5%",0.6,9.5,45,50,65,64,44,48,43,"Torrent",NA,"Sheer Force",NA,"LC"
159,2,"Croconaw","アリゲイツ (Alligates)","Water",NA,"Big Jaw Pokémon","87.5%","12.5%",1.1,25,45,65,80,80,59,63,58,"Torrent",NA,"Sheer Force",NA,"NFE"
160,2,"Feraligatr","オーダイル (Ordile)","Water",NA,"Big Jaw Pokémon","87.5%","12.5%",2.3,88.8,45,85,105,100,79,83,78,"Torrent",NA,"Sheer Force",NA,"NUBL"
161,2,"Sentret","オタチ (Otachi)","Normal",NA,"Scout Pokémon","50%","50%",0.8,6,255,35,46,34,35,45,20,"Run Away","Keen Eye","Frisk",NA,"LC"
162,2,"Furret","オオタチ (Ootachi)","Normal",NA,"Long Body Pokémon","50%","50%",1.8,32.5,90,85,76,64,45,55,90,"Run Away","Keen Eye","Frisk",NA,"ZU"
163,2,"Hoothoot","ホーホー (Hoho)","Normal","Flying","Owl Pokémon","50%","50%",0.7,21.2,255,60,30,30,36,56,50,"Insomnia","Keen Eye","Tinted Lens",NA,"LC"
164,2,"Noctowl","ヨルノズク (Yorunozuku)","Normal","Flying","Owl Pokémon","50%","50%",1.6,40.8,90,100,50,50,86,96,70,"Insomnia","Keen Eye","Tinted Lens",NA,"ZU"
165,2,"Ledyba","レディバ (Rediba)","Bug","Flying","Five Star Pokémon","50%","50%",1,10.8,255,40,20,30,40,80,55,"Swarm","Early Bird","Rattled",NA,"National Dex"
166,2,"Ledian","レディアン (Redian)","Bug","Flying","Five Star Pokémon","50%","50%",1.4,35.6,90,55,35,50,55,110,85,"Swarm","Early Bird","Iron Fist",NA,"National Dex"
167,2,"Spinarak","イトマル (Itomaru)","Bug","Poison","String Spit Pokémon","50%","50%",0.5,8.5,255,40,60,40,40,40,30,"Swarm","Insomnia","Sniper",NA,"LC"
168,2,"Ariados","アリアドス (Ariados)","Bug","Poison","Long Leg Pokémon","50%","50%",1.1,33.5,90,70,90,70,60,70,40,"Swarm","Insomnia","Sniper",NA,"ZU"
169,2,"Crobat","クロバット (Crobat)","Poison","Flying","Bat Pokémon","50%","50%",1.8,75,90,85,90,80,70,80,130,"Inner Focus",NA,"Infiltrator",NA,"National Dex"
170,2,"Chinchou","チョンチー (Chonchie)","Water","Electric","Angler Pokémon","50%","50%",0.5,12,190,75,38,38,56,56,67,"Volt Absorb","Illuminate","Water Absorb",NA,"LC"
171,2,"Lanturn","ランターン (Lantern)","Water","Electric","Light Pokémon","50%","50%",1.2,22.5,75,125,58,58,76,76,67,"Volt Absorb","Illuminate","Water Absorb",NA,"ZU"
172,2,"Pichu","ピチュー (Pichu)","Electric",NA,"Tiny Mouse Pokémon","50%","50%",0.3,2,190,20,40,15,35,35,60,"Static",NA,"Lightning Rod",NA,"LC"
173,2,"Cleffa","ピィ (Py)","Fairy",NA,"Star Shape Pokémon","25%","75%",0.3,3,150,50,25,28,45,55,15,"Cute Charm","Magic Guard","Friend Guard",NA,"LC"
174,2,"Igglybuff","ププリン (Pupurin)","Normal","Fairy","Balloon Pokémon","25%","75%",0.3,1,170,90,30,15,40,20,15,"Cute Charm","Competitive","Friend Guard",NA,"LC"
175,2,"Togepi","トゲピー (Togepy)","Fairy",NA,"Spike Ball Pokémon","87.5%","12.5%",0.3,1.5,190,35,20,65,40,65,20,"Hustle","Serene Grace","Super Luck",NA,"National Dex"
176,2,"Togetic","トゲチック (Togechick)","Fairy","Flying","Happiness Pokémon","87.5%","12.5%",0.6,3.2,75,55,40,85,80,105,40,"Hustle","Serene Grace","Super Luck",NA,"National Dex"
177,2,"Natu","ネイティ (Naty)","Psychic","Flying","Tiny Bird Pokémon","50%","50%",0.2,2,190,40,50,45,70,45,70,"Synchronize","Early Bird","Magic Bounce",NA,"National Dex"
178,2,"Xatu","ネイティオ (Natio)","Psychic","Flying","Mystic Pokémon","50%","50%",1.5,15,75,65,75,70,95,70,95,"Synchronize","Early Bird","Magic Bounce",NA,"National Dex"
179,2,"Mareep","メリープ (Merriep)","Electric",NA,"Wool Pokémon","50%","50%",0.6,7.8,235,55,40,40,65,45,35,"Static",NA,"Plus",NA,"LC"
180,2,"Flaaffy","モココ (Mokoko)","Electric",NA,"Wool Pokémon","50%","50%",0.8,13.3,120,70,55,55,80,60,45,"Static",NA,"Plus",NA,"NFE"
181,2,"Ampharos","デンリュウ (Denryu)","Electric",NA,"Light Pokémon","50%","50%",1.4,61.5,45,90,75,85,115,90,55,"Static",NA,"Plus",NA,"ZU"
182,2,"Bellossom","キレイハナ (Kireihana)","Grass",NA,"Flower Pokémon","50%","50%",0.4,5.8,45,75,80,95,90,100,50,"Chlorophyll",NA,"Healer",NA,"ZUBL"
183,2,"Marill","マリル (Maril)","Water","Fairy","Aqua Mouse Pokémon","50%","50%",0.4,8.5,190,70,20,50,20,50,40,"Thick Fat","Huge Power","Sap Sipper",NA,"NFE"
184,2,"Azumarill","マリルリ (Marilli)","Water","Fairy","Aqua Rabbit Pokémon","50%","50%",0.8,28.5,75,100,50,80,60,80,50,"Thick Fat","Huge Power","Sap Sipper",NA,"UU"
185,2,"Sudowoodo","ウソッキー (Usokkie)","Rock",NA,"Imitation Pokémon","50%","50%",1.2,38,65,70,100,115,30,65,30,"Sturdy","Rock Head","Rattled",NA,"ZU"
186,2,"Politoed","ニョロトノ (Nyorotono)","Water",NA,"Frog Pokémon","50%","50%",1.1,33.9,45,90,75,75,90,100,70,"Water Absorb","Damp","Drizzle",NA,"NUBL"
187,2,"Hoppip","ハネッコ (Hanecco)","Grass","Flying","Cottonweed Pokémon","50%","50%",0.4,0.5,255,35,35,40,35,55,50,"Chlorophyll","Leaf Guard","Infiltrator",NA,"LC"
188,2,"Skiploom","ポポッコ (Popocco)","Grass","Flying","Cottonweed Pokémon","50%","50%",0.6,1,120,55,45,50,45,65,80,"Chlorophyll","Leaf Guard","Infiltrator",NA,"NFE"
189,2,"Jumpluff","ワタッコ (Watacco)","Grass","Flying","Cottonweed Pokémon","50%","50%",0.8,3,45,75,55,70,55,95,110,"Chlorophyll","Leaf Guard","Infiltrator",NA,"ZU"
190,2,"Aipom","エイパム (Eipam)","Normal",NA,"Long Tail Pokémon","50%","50%",0.8,11.5,45,55,70,55,40,55,85,"Run Away","Pickup","Skill Link",NA,"NFE"
191,2,"Sunkern","ヒマナッツ (Himanuts)","Grass",NA,"Seed Pokémon","50%","50%",0.3,1.8,235,30,30,30,30,30,30,"Chlorophyll","Solar Power","Early Bird",NA,"LC"
192,2,"Sunflora","キマワリ (Kimawari)","Grass",NA,"Sun Pokémon","50%","50%",0.8,8.5,120,75,75,55,105,85,30,"Chlorophyll","Solar Power","Early Bird",NA,"ZU"
193,2,"Yanma","ヤンヤンマ (Yanyanma)","Bug","Flying","Clear Wing Pokémon","50%","50%",1.2,38,75,65,65,45,75,45,95,"Speed Boost","Compound Eyes","Frisk",NA,"NFE"
194,2,"Wooper","ウパー (Upah)","Water","Ground","Water Fish Pokémon","50%","50%",0.4,8.5,255,55,45,45,25,25,15,"Damp","Water Absorb","Unaware",NA,"LC"
195,2,"Quagsire","ヌオー (Nuoh)","Water","Ground","Water Fish Pokémon","50%","50%",1.4,75,90,95,85,85,65,65,35,"Damp","Water Absorb","Unaware",NA,"RU"
196,2,"Espeon","エーフィ (Eifie)","Psychic",NA,"Sun Pokémon","87.5%","12.5%",0.9,26.5,45,65,65,60,130,95,110,"Synchronize",NA,"Magic Bounce",NA,"PU"
197,2,"Umbreon","ブラッキー (Blacky)","Dark",NA,"Moonlight Pokémon","87.5%","12.5%",1,27,45,95,65,110,60,130,65,"Synchronize",NA,"Inner Focus",NA,"RU"
198,2,"Murkrow","ヤミカラス (Yamikarasu)","Dark","Flying","Darkness Pokémon","50%","50%",0.5,2.1,30,60,85,42,85,42,91,"Insomnia","Super Luck","Prankster",NA,"NFE"
199,2,"Slowking","ヤドキング (Yadoking)","Water","Psychic","Royal Pokémon","50%","50%",2,79.5,70,95,75,80,100,110,30,"Oblivious","Own Tempo","Regenerator",NA,"UU"
200,2,"Misdreavus","ムウマ (Muma)","Ghost",NA,"Screech Pokémon","50%","50%",0.7,1,45,60,60,60,85,85,85,"Levitate",NA,NA,NA,"NFE"
201,2,"Unown","アンノーン (Unknown)","Psychic",NA,"Symbol Pokémon","","",0.5,5,225,48,72,48,72,48,48,"Levitate",NA,NA,NA,"National Dex"
202,2,"Wobbuffet","ソーナンス (Sonans)","Psychic",NA,"Patient Pokémon","50%","50%",1.3,28.5,45,190,33,58,33,58,33,"Shadow Tag",NA,"Telepathy",NA,"National Dex"
203,2,"Girafarig","キリンリキ (Kirinriki)","Normal","Psychic","Long Neck Pokémon","50%","50%",1.5,41.5,60,70,80,65,90,65,85,"Inner Focus","Early Bird","Sap Sipper",NA,"NFE"
204,2,"Pineco","クヌギダマ (Kunugidama)","Bug",NA,"Bagworm Pokémon","50%","50%",0.6,7.2,190,50,65,90,35,35,15,"Sturdy",NA,"Overcoat",NA,"LC"
205,2,"Forretress","フォレトス (Foretos)","Bug","Steel","Bagworm Pokémon","50%","50%",1.2,125.8,75,75,90,140,60,60,40,"Sturdy",NA,"Overcoat",NA,"RU"
206,2,"Dunsparce","ノコッチ (Nokocchi)","Normal",NA,"Land Snake Pokémon","50%","50%",1.5,14,190,100,70,70,65,65,45,"Serene Grace","Run Away","Rattled",NA,"NFE"
207,2,"Gligar","グライガー (Gliger)","Ground","Flying","FlyScorpion Pokémon","50%","50%",1.1,64.8,60,65,75,105,35,65,85,"Hyper Cutter","Sand Veil","Immunity",NA,"NU"
208,2,"Steelix","ハガネール (Haganeil)","Steel","Ground","Iron Snake Pokémon","50%","50%",9.2,400,25,75,85,200,55,65,30,"Rock Head","Sturdy","Sheer Force",NA,"National Dex"
209,2,"Snubbull","ブルー (Bulu)","Fairy",NA,"Fairy Pokémon","25%","75%",0.6,7.8,190,60,80,50,40,40,30,"Intimidate","Run Away","Rattled",NA,"LC"
210,2,"Granbull","グランブル (Granbulu)","Fairy",NA,"Fairy Pokémon","25%","75%",1.4,48.7,75,90,120,75,60,60,45,"Intimidate","Quick Feet","Rattled",NA,"ZU"
211,2,"Qwilfish","ハリーセン (Harysen)","Water","Poison","Balloon Pokémon","50%","50%",0.5,3.9,45,65,95,85,55,55,85,"Poison Point","Swift Swim","Intimidate",NA,"PU"
212,2,"Scizor","ハッサム (Hassam)","Bug","Steel","Pincer Pokémon","50%","50%",1.8,118,25,70,130,100,55,80,65,"Swarm","Technician","Light Metal",NA,"OU"
213,2,"Shuckle","ツボツボ (Tsubotsubo)","Bug","Rock","Mold Pokémon","50%","50%",0.6,20.5,190,20,10,230,10,230,5,"Sturdy","Gluttony","Contrary",NA,"National Dex"
214,2,"Heracross","ヘラクロス (Heracros)","Bug","Fighting","Single Horn Pokémon","50%","50%",1.5,54,45,80,125,75,40,95,85,"Swarm","Guts","Moxie",NA,"PUBL"
215,2,"Sneasel","ニューラ (Nyula)","Dark","Ice","Sharp Claw Pokémon","50%","50%",0.9,28,60,55,95,55,35,75,115,"Inner Focus","Keen Eye","Pickpocket",NA,"NFE"
216,2,"Teddiursa","ヒメグマ (Himeguma)","Normal",NA,"Little Bear Pokémon","50%","50%",0.6,8.8,120,60,80,50,50,50,40,"Pickup","Quick Feet","Honey Gather",NA,"LC"
217,2,"Ursaring","リングマ (Ringuma)","Normal",NA,"Hibernator Pokémon","50%","50%",1.8,125.8,60,90,130,75,75,75,55,"Guts","Quick Feet","Unnerve",NA,"NFE"
218,2,"Slugma","マグマッグ (Magmag)","Fire",NA,"Lava Pokémon","50%","50%",0.7,35,190,40,40,40,70,40,20,"Magma Armor","Flame Body","Weak Armor",NA,"LC"
219,2,"Magcargo","マグカルゴ (Magcargot)","Fire","Rock","Lava Pokémon","50%","50%",0.8,55,75,60,50,120,90,80,30,"Magma Armor","Flame Body","Weak Armor",NA,"ZU"
220,2,"Swinub","ウリムー (Urimoo)","Ice","Ground","Pig Pokémon","50%","50%",0.4,6.5,225,50,50,40,30,30,50,"Oblivious","Snow Cloak","Thick Fat",NA,"LC"
221,2,"Piloswine","イノムー (Inomoo)","Ice","Ground","Swine Pokémon","50%","50%",1.1,55.8,75,100,100,80,60,60,50,"Oblivious","Snow Cloak","Thick Fat",NA,"NFE"
222,2,"Corsola","サニーゴ (Sunnygo)","Water","Rock","Coral Pokémon","25%","75%",0.6,5,60,65,55,95,65,95,35,"Hustle","Natural Cure","Regenerator",NA,"National Dex"
223,2,"Remoraid","テッポウオ (Teppouo)","Water",NA,"Jet Pokémon","50%","50%",0.6,12,190,35,65,35,65,35,65,"Hustle","Sniper","Moody",NA,"National Dex"
224,2,"Octillery","オクタン (Okutank)","Water",NA,"Jet Pokémon","50%","50%",0.9,28.5,75,75,105,75,105,75,45,"Suction Cups","Sniper","Moody",NA,"National Dex"
225,2,"Delibird","デリバード (Delibird)","Ice","Flying","Delivery Pokémon","50%","50%",0.9,16,45,45,55,45,65,45,75,"Vital Spirit","Hustle","Insomnia",NA,"ZU"
226,2,"Mantine","マンタイン (Mantain)","Water","Flying","Kite Pokémon","50%","50%",2.1,220,25,85,40,70,80,140,70,"Swift Swim","Water Absorb","Water Veil",NA,"National Dex"
227,2,"Skarmory","エアームド (Airmd)","Steel","Flying","Armor Bird Pokémon","50%","50%",1.7,50.5,25,65,80,140,40,70,70,"Keen Eye","Sturdy","Weak Armor",NA,"UU"
228,2,"Houndour","デルビル (Delvil)","Dark","Fire","Dark Pokémon","50%","50%",0.6,10.8,120,45,60,30,80,50,65,"Early Bird","Flash Fire","Unnerve",NA,"LC"
229,2,"Houndoom","ヘルガー (Hellgar)","Dark","Fire","Dark Pokémon","50%","50%",1.4,35,45,75,90,50,110,80,95,"Early Bird","Flash Fire","Unnerve",NA,"ZU"
230,2,"Kingdra","キングドラ (Kingdra)","Water","Dragon","Dragon Pokémon","50%","50%",1.8,152,45,75,95,95,95,95,85,"Swift Swim","Sniper","Damp",NA,"ZUBL"
231,2,"Phanpy","ゴマゾウ (Gomazou)","Ground",NA,"Long Nose Pokémon","50%","50%",0.5,33.5,120,90,60,60,40,40,40,"Pickup",NA,"Sand Veil",NA,"LC"
232,2,"Donphan","ドンファン (Donfan)","Ground",NA,"Armor Pokémon","50%","50%",1.1,120,60,90,120,120,60,60,50,"Sturdy",NA,"Sand Veil",NA,"UU"
233,2,"Porygon2","ポリゴン２ (Porygon2)","Normal",NA,"Virtual Pokémon","","",0.6,32.5,45,85,80,90,105,95,60,"Trace","Download","Analytic",NA,"ZUBL"
234,2,"Stantler","オドシシ (Odoshishi)","Normal",NA,"Big Horn Pokémon","50%","50%",1.4,71.2,45,73,95,62,85,65,85,"Intimidate","Frisk","Sap Sipper",NA,"NFE"
235,2,"Smeargle","ドーブル (Doble)","Normal",NA,"Painter Pokémon","50%","50%",1.2,58,45,55,20,35,20,45,75,"Own Tempo","Technician","Moody",NA,"ZU"
236,2,"Tyrogue","バルキー (Balkie)","Fighting",NA,"Scuffle Pokémon","100%","0%",0.7,21,75,35,35,35,35,35,35,"Guts","Steadfast","Vital Spirit",NA,"LC"
237,2,"Hitmontop","カポエラー (Kapoerer)","Fighting",NA,"Handstand Pokémon","100%","0%",1.4,48,45,50,95,95,35,110,70,"Intimidate","Technician","Steadfast",NA,"ZU"
238,2,"Smoochum","ムチュール (Muchul)","Ice","Psychic","Kiss Pokémon","0%","100%",0.4,6,45,45,30,15,85,65,65,"Oblivious","Forewarn","Hydration",NA,"National Dex"
239,2,"Elekid","エレキッド (Elekid)","Electric",NA,"Electric Pokémon","75%","25%",0.6,23.5,45,45,63,37,65,55,95,"Static",NA,"Vital Spirit",NA,"LC"
240,2,"Magby","ブビィ (Buby)","Fire",NA,"Live Coal Pokémon","75%","25%",0.7,21.4,45,45,75,37,70,55,83,"Flame Body",NA,"Vital Spirit",NA,"NFE"
241,2,"Miltank","ミルタンク (Miltank)","Normal",NA,"Milk Cow Pokémon","0%","100%",1.2,75.5,45,95,80,105,40,70,100,"Thick Fat","Scrappy","Sap Sipper",NA,"National Dex"
242,2,"Blissey","ハピナス (Happinas)","Normal",NA,"Happiness Pokémon","0%","100%",1.5,46.8,30,255,10,10,75,135,55,"Natural Cure","Serene Grace","Healer",NA,"RU"
243,2,"Raikou","ライコウ (Raikou)","Electric",NA,"Thunder Pokémon","","",1.9,178,3,90,85,75,115,100,115,"Pressure",NA,"Inner Focus",NA,"NU"
244,2,"Entei","エンテイ (Entei)","Fire",NA,"Volcano Pokémon","","",2.1,198,3,115,115,85,90,75,100,"Pressure",NA,"Inner Focus",NA,"RU"
245,2,"Suicune","スイクン (Suicune)","Water",NA,"Aurora Pokémon","","",2,187,3,100,75,115,90,115,85,"Pressure",NA,"Inner Focus",NA,"NUBL"
246,2,"Larvitar","ヨーギラス (Yogiras)","Rock","Ground","Rock Skin Pokémon","50%","50%",0.6,72,45,50,64,50,45,50,41,"Guts",NA,"Sand Veil",NA,"LC"
247,2,"Pupitar","サナギラス (Sanagiras)","Rock","Ground","Hard Shell Pokémon","50%","50%",1.2,152,45,70,84,70,65,70,51,"Shed Skin",NA,NA,NA,"NFE"
248,2,"Tyranitar","バンギラス (Bangiras)","Rock","Dark","Armor Pokémon","50%","50%",2,202,45,100,134,110,95,100,61,"Sand Stream",NA,"Unnerve",NA,"UU"
249,2,"Lugia","ルギア (Lugia)","Psychic","Flying","Diving Pokémon","","",5.2,216,3,106,90,130,90,154,110,"Pressure",NA,"Multiscale",NA,"Uber"
250,2,"Ho-oh","ホウオウ (Houou)","Fire","Flying","Rainbow Pokémon","","",3.8,199,3,106,130,90,110,154,90,"Pressure",NA,"Regenerator",NA,NA
251,2,"Celebi","セレビィ (Celebi)","Psychic","Grass","Time Travel Pokémon","","",0.6,5,45,100,100,100,100,100,100,"Natural Cure",NA,NA,NA,"National Dex"
252,3,"Treecko","キモリ (Kimori)","Grass",NA,"Wood Gecko Pokémon","87.5%","12.5%",0.5,5,45,40,45,35,65,55,70,"Overgrow",NA,"Unburden",NA,"LC"
253,3,"Grovyle","ジュプトル (Juptile)","Grass",NA,"Wood Gecko Pokémon","87.5%","12.5%",0.9,21.6,45,50,65,45,85,65,95,"Overgrow",NA,"Unburden",NA,"NFE"
254,3,"Sceptile","ジュカイン (Jukain)","Grass",NA,"Forest Pokémon","87.5%","12.5%",1.7,52.2,45,70,85,65,105,85,120,"Overgrow",NA,"Unburden",NA,"ZU"
255,3,"Torchic","アチャモ (Achamo)","Fire",NA,"Chick Pokémon","87.5%","12.5%",0.4,2.5,45,45,60,40,70,50,45,"Blaze",NA,"Speed Boost",NA,"NFE"
256,3,"Combusken","ワカシャモ (Wakasyamo)","Fire","Fighting","Young Fowl Pokémon","87.5%","12.5%",0.9,19.5,45,60,85,60,85,60,55,"Blaze",NA,"Speed Boost",NA,"NFE"
257,3,"Blaziken","バシャーモ (Bursyamo)","Fire","Fighting","Blaze Pokémon","87.5%","12.5%",1.9,52,45,80,120,70,110,70,80,"Blaze",NA,"Speed Boost",NA,"UUBL"
258,3,"Mudkip","ミズゴロウ (Mizugorou)","Water",NA,"Mud Fish Pokémon","87.5%","12.5%",0.4,7.6,45,50,70,50,50,50,40,"Torrent",NA,"Damp",NA,"LC"
259,3,"Marshtomp","ヌマクロー (Numacraw)","Water","Ground","Mud Fish Pokémon","87.5%","12.5%",0.7,28,45,70,85,70,60,70,50,"Torrent",NA,"Damp",NA,"NFE"
260,3,"Swampert","ラグラージ (Laglarge)","Water","Ground","Mud Fish Pokémon","87.5%","12.5%",1.5,81.9,45,100,110,90,85,90,60,"Torrent",NA,"Damp",NA,"NU"
261,3,"Poochyena","ポチエナ (Pochiena)","Dark",NA,"Bite Pokémon","50%","50%",0.5,13.6,255,35,55,35,30,30,35,"Run Away","Quick Feet","Rattled",NA,"LC"
262,3,"Mightyena","グラエナ (Graena)","Dark",NA,"Bite Pokémon","50%","50%",1,37,127,70,90,70,60,60,70,"Intimidate","Quick Feet","Moxie",NA,"ZU"
263,3,"Zigzagoon","ジグザグマ (Jiguzaguma)","Normal",NA,"TinyRaccoon Pokémon","50%","50%",0.4,17.5,255,38,30,41,30,41,60,"Pickup","Gluttony","Quick Feet",NA,"National Dex"
264,3,"Linoone","マッスグマ (Massuguma)","Normal",NA,"Rushing Pokémon","50%","50%",0.5,32.5,90,78,70,61,50,61,100,"Pickup","Gluttony","Quick Feet",NA,"National Dex"
265,3,"Wurmple","ケムッソ (Kemusso)","Bug",NA,"Worm Pokémon","50%","50%",0.3,3.6,255,45,45,35,20,30,20,"Shield Dust",NA,"Run Away",NA,"National Dex"
266,3,"Silcoon","カラサリス (Karasalis)","Bug",NA,"Cocoon Pokémon","50%","50%",0.6,10,120,50,35,55,25,25,15,"Shed Skin",NA,NA,NA,"National Dex"
267,3,"Beautifly","アゲハント (Agehunt)","Bug","Flying","Butterfly Pokémon","50%","50%",1,28.4,45,60,70,50,100,50,65,"Swarm",NA,"Rivalry",NA,"National Dex"
268,3,"Cascoon","マユルド (Mayuld)","Bug",NA,"Cocoon Pokémon","50%","50%",0.7,11.5,120,50,35,55,25,25,15,"Shed Skin",NA,NA,NA,"National Dex"
269,3,"Dustox","ドクケイル (Dokucale)","Bug","Poison","Poison Moth Pokémon","50%","50%",1.2,31.6,45,60,50,70,50,90,65,"Shield Dust",NA,"Compound Eyes",NA,"National Dex"
270,3,"Lotad","ハスボー (Hassboh)","Water","Grass","Water Weed Pokémon","50%","50%",0.5,2.6,255,40,30,30,40,50,30,"Swift Swim","Rain Dish","Own Tempo",NA,"LC"
271,3,"Lombre","ハスブレロ (Hasubrero)","Water","Grass","Jolly Pokémon","50%","50%",1.2,32.5,120,60,50,50,60,70,50,"Swift Swim","Rain Dish","Own Tempo",NA,"NFE"
272,3,"Ludicolo","ルンパッパ (Runpappa)","Water","Grass","Carefree Pokémon","50%","50%",1.5,55,45,80,70,70,90,100,70,"Swift Swim","Rain Dish","Own Tempo",NA,"ZU"
273,3,"Seedot","タネボー (Taneboh)","Grass",NA,"Acorn Pokémon","50%","50%",0.5,4,255,40,40,50,30,30,30,"Chlorophyll","Early Bird","Pickpocket",NA,"LC"
274,3,"Nuzleaf","コノハナ (Konohana)","Grass","Dark","Wily Pokémon","50%","50%",1,28,120,70,70,40,60,40,60,"Chlorophyll","Early Bird","Pickpocket",NA,"NFE"
275,3,"Shiftry","ダーテング (Dirteng)","Grass","Dark","Wicked Pokémon","50%","50%",1.3,59.6,45,90,100,60,90,60,80,"Chlorophyll","Wind Rider","Pickpocket",NA,"ZU"
276,3,"Taillow","スバメ (Subame)","Normal","Flying","TinySwallow Pokémon","50%","50%",0.3,2.3,200,40,55,30,30,30,85,"Guts",NA,"Scrappy",NA,"National Dex"
277,3,"Swellow","オオスバメ (Ohsubame)","Normal","Flying","Swallow Pokémon","50%","50%",0.7,19.8,45,60,85,60,75,50,125,"Guts",NA,"Scrappy",NA,"National Dex"
278,3,"Wingull","キャモメ (Camome)","Water","Flying","Seagull Pokémon","50%","50%",0.6,9.5,190,40,30,30,55,30,85,"Keen Eye","Hydration","Rain Dish",NA,"LC"
279,3,"Pelipper","ペリッパー (Pelipper)","Water","Flying","Water Bird Pokémon","50%","50%",1.2,28,45,60,50,100,95,70,65,"Keen Eye","Drizzle","Rain Dish",NA,"UUBL"
280,3,"Ralts","ラルトス (Ralts)","Psychic","Fairy","Feeling Pokémon","50%","50%",0.4,6.6,235,28,25,25,45,35,40,"Synchronize","Trace","Telepathy",NA,"LC"
281,3,"Kirlia","キルリア (Kirlia)","Psychic","Fairy","Emotion Pokémon","50%","50%",0.8,20.2,120,38,35,35,65,55,50,"Synchronize","Trace","Telepathy",NA,"NFE"
282,3,"Gardevoir","サーナイト (Sirnight)","Psychic","Fairy","Embrace Pokémon","50%","50%",1.6,48.4,45,68,65,65,125,115,80,"Synchronize","Trace","Telepathy",NA,"RU"
283,3,"Surskit","アメタマ (Ametama)","Bug","Water","Pond Skater Pokémon","50%","50%",0.5,1.7,200,40,30,32,50,52,65,"Swift Swim",NA,"Rain Dish",NA,"LC"
284,3,"Masquerain","アメモース (Amemoth)","Bug","Flying","Eyeball Pokémon","50%","50%",0.8,3.6,75,70,60,62,100,82,80,"Intimidate",NA,"Unnerve",NA,"ZU"
285,3,"Shroomish","キノココ (Kinococo)","Grass",NA,"Mushroom Pokémon","50%","50%",0.4,4.5,255,60,40,60,40,60,35,"Effect Spore","Poison Heal","Quick Feet",NA,"LC"
